MapID,Area Name,Median_Income,community_board,per_blackNH,per_whiteNH,per_hisp,per_other,Total Population
,Bronx,36593,,29,9,55,7,1455846
,Brooklyn,52782,,30,35,19,16,2635121
,Manhattan,79781,,12,46,26,16,1653877
,Queens,62008,,17,25,27,31,2339280
,Staten Island,76244,,9,62,18,11,475948
,New York City,57782,,22,32,29,17,8560072
101,BX1 - Mott Haven/Melrose,23375,01 BRONX,28,2,67,3,97586
102,BX2 - Hunts Point/Longwood,28525,02 BRONX,24,1,72,3,53651
103,BX3 - Morrisania/Crotona,28316,03 BRONX,36,1,60,3,90269
104,BX4 - Highbridge/Concourse,27971,04 BRONX,29,1,65,5,152216
105,BX5 - Fordham/University Heights,26229,05 BRONX,26,1,68,5,134311
106,BX6 - Belmont/East Tremont,27122,06 BRONX,25,6,66,3,88362
107,BX7 - Kingsbridge Hghts/Bedford Park,32231,07 BRONX,15,6,70,9,145584
108,BX8 - Riverdale/Fieldston,63260,08 BRONX,11,34,46,9,106091
109,BX9 - Parkchester/Soundview,40007,09 BRONX,29,2,58,11,181441
110,BX10 - Throgs Neck/Co-op City,60740,10 BRONX,22,27,41,10,126579
111,BX11 - Morris Park/Bronxdale,50481,11 BRONX,21,23,46,10,118912
112,BX12 - Williamsbridge/Baychester,47298,12 BRONX,64,6,24,6,163449
201,BK1 - Greenpoint/Williamsburg,55355,01 BROOKLYN,5,60,24,11,189250
202,BK2 - Fort Greene/Brooklyn Heights,91068,02 BROOKLYN,25,46,14,15,118401
203,BK3 - Bedford Stuyvesant,47646,03 BROOKLYN,55,19,18,8,164713
204,BK4 - Bushwick,46974,04 BROOKLYN,18,16,57,9,118348
205,BK5 - East New York/Starrett City,38860,05 BROOKLYN,55,3,34,8,187610
206,BK6 - Park Slope/Carroll Gardens,107315,06 BROOKLYN,8,62,17,13,117572
207,BK7 - Sunset Park,49337,07 BROOKLYN,2,25,43,30,130339
208,BK8 - Crown Heights,48404,08 BROOKLYN,55,24,12,9,101568
209,BK9 - South Crown Heights/Prospect,45563,09 BROOKLYN,62,24,8,6,101053
210,BK10 - Bay Ridge/Dyker Heights,63527,10 BROOKLYN,1,55,16,28,127979
211,BK11 - Bensonhurst,50771,11 BROOKLYN,1,43,14,42,192195
212,BK12 - Borough Park,44024,12 BROOKLYN,2,64,12,22,191824
213,BK13 - Coney Island,34558,13 BROOKLYN,12,56,15,17,103405
214,BK14 - Flatbush/Midwood,49883,14 BROOKLYN,32,39,15,14,165986
215,BK15 - Sheepshead Bay,62102,15 BROOKLYN,3,65,10,22,166368
216,BK16 - Brownsville,30018,16 BROOKLYN,72,2,21,5,87592
217,BK17 - East Flatbush,47920,17 BROOKLYN,86,2,7,5,157749
218,BK18 - Flatlands/Canarsie,76631,18 BROOKLYN,62,23,8,7,211833
301,MN1 - Financial District,147841,01 MANHATTAN,2,66,6,26,68577
302,MN2 - Greenwich Village/Soho,126370,02 MANHATTAN,1,74,6,19,90973
303,MN3 - Lower East Side/Chinatown,46408,03 MANHATTAN,7,32,25,36,157825
304,MN4 - Clinton/Chelsea,91364,04 MANHATTAN,6,57,17,20,112360
305,MN5 - Midtown,105638,05 MANHATTAN,3,65,7,25,49695
306,MN6 - Stuyvesant Town/Turtle Bay,104601,06 MANHATTAN,3,68,9,20,141555
307,MN7 - Upper West Side,105751,07 MANHATTAN,5,65,16,14,209425
308,MN8 - Upper East Side,131701,08 MANHATTAN,2,75,9,14,222517
309,MN9 - Morningside Heights/Hamilton,45835,09 MANHATTAN,23,26,39,12,114534
310,MN10 - Central Harlem,44794,10 MANHATTAN,56,13,23,8,135366
311,MN11 - East Harlem,24635,11 MANHATTAN,30,13,45,12,129131
312,MN12 - Washington Heights/Inwood,45416,12 MANHATTAN,7,18,69,6,211775
401,QU1 - Astoria,43095,01 QUEENS,8,45,26,21,186635
402,QU2 - Woodside/Sunnyside,65702,02 QUEENS,1,29,34,36,118923
403,QU3 - Jackson Heights,56644,03 QUEENS,5,10,65,20,165969
404,QU4 - Elmhurst/Corona,46829,04 QUEENS,6,6,50,38,171496
405,QU5 - Ridgewood/Maspeth,69473,05 QUEENS,1,51,36,12,180310
406,QU6 - Rego Park/Forest Hills,67136,06 QUEENS,2,48,15,35,118975
407,QU7 - Flushing/Whitestone,55352,07 QUEENS,2,25,17,56,251262
408,QU8 - Hillcrest/Fresh Meadows,67435,08 QUEENS,11,30,19,40,162149
409,QU9 - Ozone Park/Woodhaven,65564,09 QUEENS,5,17,42,36,154886
410,QU10 - S. Ozone Park/Howard Beach,68871,10 QUEENS,14,21,25,40,137784
411,QU11 - Bayside/Little Neck,74377,11 QUEENS,1,40,11,48,120782
412,QU12 - Jamaica/Hollis,60371,12 QUEENS,60,1,16,23,249183
413,QU13 - Queens Village,79939,13 QUEENS,55,11,12,22,205324
414,QU14 - Rockaway/Broad Channel,57003,14 QUEENS,35,35,24,6,123031
501,SI1 - St. George/Stapleton,58195,01 STATEN ISLAND,21,38,29,12,173364
502,SI2 - S. Beach/Willowbrook,74879,02 STATEN ISLAND,4,66,13,17,136729
503,SI3 - Tottenville/Great Kills,88653,03 STATEN ISLAND,1,83,9,7,165855
